Year,English Title,Original title,Director(s),Production Country,Ref.,Original Title,Director,Ref(s),Recipient,Profession,Nationality of Recipient
1946,"Rome, Open City","Roma, città aperta",Roberto Rossellini,Italy,[23],,,,,,
1946,Torment,Hets,Alf Sjöberg,Sweden,[24],,,,,,
1946,The Turning Point,Великий перелом,Fridrikh Ermler,Soviet Union,[25],,,,,,
"Awarded as ""Grand Prix""","Awarded as ""Grand Prix""","Awarded as ""Grand Prix""","Awarded as ""Grand Prix""","Awarded as ""Grand Prix""","Awarded as ""Grand Prix""",,,,,,
1947,Antoine and Antoinette (Best Psychological & Love Film),Antoine et Antoinette,Jacques Becker,France,[26],,,,,,
1947,Crossfire (Best Social Film),Crossfire (Best Social Film),Edward Dmytryk,United States,[27],,,,,,
1947,The Damned (Best Adventure & Crime Film),Les Maudits,René Clément,France,[28],,,,,,
1947,Dumbo (Best Animation Design),Dumbo (Best Animation Design),Ben Sharpsteen,United States,[29],,,,,,
1947,Ziegfeld Follies (Best Musical Comedy),Ziegfeld Follies (Best Musical Comedy),Vincente Minnelli,United States,[30],,,,,,
1948,Festival cancelled,Festival cancelled,Festival cancelled,Festival cancelled,[31],,,,,,
1949,The Third Man,The Third Man,Carol Reed,United Kingdom,[32],,,,,,
1950,Festival cancelled,Festival cancelled,Festival cancelled,Festival cancelled,[31],,,,,,
1951,Miracle in Milan,Miracolo a Milano,Vittorio De Sica,Italy,[33],,,,,,
1951,Miss Julie,Fröken Julie,Alf Sjöberg,Sweden,[34],,,,,,
1952,Othello,Othello,Orson Welles,"Italy, Morocco",[35],,,,,,
1952,Two Cents Worth of Hope,Due soldi di speranza,Renato Castellani,Italy,[36],,,,,,
1953,The Wages of Fear,Le salaire de la peur,Henri-Georges Clouzot,France,[37],,,,,,
1954,Gate of Hell,地獄門,Teinosuke Kinugasa,Japan,[38],,,,,,
"Awarded as ""Palme d'Or""","Awarded as ""Palme d'Or""","Awarded as ""Palme d'Or""","Awarded as ""Palme d'Or""","Awarded as ""Palme d'Or""","Awarded as ""Palme d'Or""",,,,,,
1955,Marty §,Marty §,Delbert Mann,United States,[39],,,,,,
1956,The Silent World,Le monde du silence,Jacques Cousteau & Louis Malle,France,[40],,,,,,
1957,Friendly Persuasion,Friendly Persuasion,William Wyler,United States,[41],,,,,,
1958,The Cranes Are Flying,Летят журавли,Mikhail Kalatozov,Soviet Union,[42],,,,,,
1959,Black Orpheus §,Orfeu Negro,Marcel Camus,"France, Brazil",[43],,,,,,
1960,La Dolce Vita §,La Dolce Vita §,Federico Fellini,Italy,[44],,,,,,
1961,The Long Absence §,Une aussi longue absence,Henri Colpi,France,[45],,,,,,
1961,Viridiana §,Viridiana §,Luis Buñuel,Spain,[46],,,,,,
1962,O Pagador de Promessas §,O Pagador de Promessas §,Anselmo Duarte,Brazil,[47],,,,,,
1963,The Leopard §,Il gattopardo,Luchino Visconti,Italy,[48],,,,,,
"Awarded as ""Grand Prix du Festival International du Film""","Awarded as ""Grand Prix du Festival International du Film""","Awarded as ""Grand Prix du Festival International du Film""","Awarded as ""Grand Prix du Festival International du Film""","Awarded as ""Grand Prix du Festival International du Film""","Awarded as ""Grand Prix du Festival International du Film""",,,,,,
1964,The Umbrellas of Cherbourg,Les parapluies de Cherbourg,Jacques Demy,France,[49],,,,,,
1965,The Knack ...and How to Get It,The Knack ...and How to Get It,Richard Lester,United Kingdom,[50],,,,,,
1966,"The Birds, the Bees and the Italians",Signore e signori,Pietro Germi,Italy,[51],,,,,,
1966,A Man and a Woman,Un homme et une femme,Claude Lelouch,France,[52],,,,,,
1967,Blowup,Blowup,Michelangelo Antonioni,United Kingdom,[53],,,,,,
1968,The festival was cancelled midway through to show solidarity with the students and workers who were demonstrating in what became known as the May 68 movement.[31],The festival was cancelled midway through to show solidarity with the students and workers who were demonstrating in what became known as the May 68 movement.[31],The festival was cancelled midway through to show solidarity with the students and workers who were demonstrating in what became known as the May 68 movement.[31],The festival was cancelled midway through to show solidarity with the students and workers who were demonstrating in what became known as the May 68 movement.[31],The festival was cancelled midway through to show solidarity with the students and workers who were demonstrating in what became known as the May 68 movement.[31],,,,,,
1969,If....,If....,Lindsay Anderson,United Kingdom,[54],,,,,,
1970,MASH,MASH,Robert Altman,United States,[55],,,,,,
1971,The Go-Between,The Go-Between,Joseph Losey,United Kingdom,[56],,,,,,
1972,The Mattei Affair §,Il caso Mattei,Francesco Rosi,Italy,[57],,,,,,
1972,The Working Class Goes to Heaven §,La classe operaia va in paradiso,Elio Petri,Italy,[58],,,,,,
1973,The Hireling,The Hireling,Alan Bridges,United Kingdom,[59],,,,,,
1973,Scarecrow,Scarecrow,Jerry Schatzberg,United States,[60],,,,,,
1974,The Conversation,The Conversation,Francis Ford Coppola,United States,[61],,,,,,
"Awarded as ""Palme d'Or""","Awarded as ""Palme d'Or""","Awarded as ""Palme d'Or""","Awarded as ""Palme d'Or""","Awarded as ""Palme d'Or""","Awarded as ""Palme d'Or""",,,,,,
1975,Chronicle of the Years of Fire,Chronique des années de braise,Mohammed Lakhdar-Hamina,Algeria,[62],,,,,,
1976,Taxi Driver,Taxi Driver,Martin Scorsese,United States,[63],,,,,,
1977,Padre Padrone,Padre Padrone,Paolo and Vittorio Taviani,Italy,[64],,,,,,
1978,The Tree of Wooden Clogs §,L'albero degli zoccoli,Ermanno Olmi,Italy,[65],,,,,,
1979,Apocalypse Now,Apocalypse Now,Francis Ford Coppola,United States,[66],,,,,,
1979,The Tin Drum,Die Blechtrommel,Volker Schlöndorff,"West Germany, France",[67],,,,,,
1980,All That Jazz,All That Jazz,Bob Fosse,United States,[68],,,,,,
1980,Kagemusha,影武者,Akira Kurosawa,Japan,[69],,,,,,
1981,Man of Iron,Człowiek z żelaza,Andrzej Wajda,Poland,[70],,,,,,
1982,Missing §,Missing §,Costa-Gavras,United States,[71],,,,,,
1982,Yol §,Yol §,Yılmaz Güney & Şerif Gören,Turkey,[72],,,,,,
1983,The Ballad of Narayama,楢山節考,Shohei Imamura,Japan,[73],,,,,,
1984,"Paris, Texas §","Paris, Texas §",Wim Wenders,"West Germany, France",[74],,,,,,
1985,When Father Was Away on Business §,Отац на службеном путу,Emir Kusturica,Yugoslavia,[75],,,,,,
1986,The Mission,The Mission,Roland Joffé,United Kingdom,[76],,,,,,
1987,Under the Sun of Satan §,Sous le soleil de Satan,Maurice Pialat,France,[77],,,,,,
1988,Pelle the Conqueror,Pelle Erobreren,Bille August,Denmark,[78],,,,,,
1989,"Sex, Lies, and Videotape","Sex, Lies, and Videotape",Steven Soderbergh,United States,[79],,,,,,
1990,Wild at Heart,Wild at Heart,David Lynch,United States,[80],,,,,,
1991,Barton Fink §,Barton Fink §,Joel Coen,United States,[81],,,,,,
1992,The Best Intentions,Den goda viljan,Bille August,"Denmark, Sweden",[82],,,,,,
1993,Farewell My Concubine,霸王別姬,Chen Kaige,Hong Kong,[83],,,,,,
1993,The Piano,The Piano,Jane Campion,"New Zealand, Australia, France",[84],,,,,,
1994,Pulp Fiction,Pulp Fiction,Quentin Tarantino,United States,[85],,,,,,
1995,Underground,Подземље,Emir Kusturica,Yugoslavia,[86],,,,,,
1996,Secrets & Lies,Secrets & Lies,Mike Leigh,"France, United Kingdom",[87],,,,,,
1997,The Eel,うなぎ,Shohei Imamura,Japan,[88],,,,,,
1997,Taste of Cherry,طعم گيلاس,Abbas Kiarostami,Iran,[88],,,,,,
1998,Eternity and a Day §,Μια αιωνιότητα και μια μέρα,Theo Angelopoulos,Greece,[89],,,,,,
1999,Rosetta §,Rosetta §,Jean-Pierre & Luc Dardenne,Belgium,[90],,,,,,
2000,Dancer in the Dark,Dancer in the Dark,Lars von Trier,Denmark,[91],,,,,,
2001,The Son's Room,La stanza del figlio,Nanni Moretti,Italy,[92],,,,,,
2002,The Pianist,The Pianist,Roman Polanski,"Poland, France, Germany, United Kingdom",[93],,,,,,
2003,Elephant,Elephant,Gus Van Sant,United States,[94],,,,,,
2004,Fahrenheit 9/11,Fahrenheit 9/11,Michael Moore,United States,[95],,,,,,
2005,L'Enfant,L'Enfant,Jean-Pierre & Luc Dardenne,"Belgium, France",[96],,,,,,
2006,The Wind That Shakes the Barley §,The Wind That Shakes the Barley §,Ken Loach,"Ireland, United Kingdom, Italy, Germany",[97],,,,,,
2007,"4 Months, 3 Weeks and 2 Days","4 luni, 3 săptămâni și 2 zile",Cristian Mungiu,Romania,[98],,,,,,
2008,The Class §,Entre les murs,Laurent Cantet,France,[99],,,,,,
2009,The White Ribbon,"Das weiße Band, Eine deutsche Kindergeschichte",Michael Haneke,"Germany, Austria, France",[100],,,,,,
2010,Uncle Boonmee Who Can Recall His Past Lives,ลุงบุญมีระลึกชาติ,Apichatpong Weerasethakul,"Thailand, France, Germany",[101],,,,,,
2011,The Tree of Life,The Tree of Life,Terrence Malick,United States,[102],,,,,,
2012,Amour,Amour,Michael Haneke,"France, Germany, Austria",[103],,,,,,
2013,Blue Is the Warmest Colour §,La Vie d'Adèle: Chapitres 1 et 2,Abdellatif Kechiche,"France, Belgium, Spain",[104],,,,,,
2014,Winter Sleep,Kış Uykusu,Nuri Bilge Ceylan,"Turkey, France, Germany",[105],,,,,,
2015,Dheepan,Dheepan,Jacques Audiard,France,[106],,,,,,
2016,"I, Daniel Blake","I, Daniel Blake",Ken Loach,United Kingdom,[107],,,,,,
2017,The Square,The Square,Ruben Östlund,"Sweden, Germany, France, Denmark",[108],,,,,,
2018,Shoplifters,万引き家族,Hirokazu Kore-eda,Japan,[109],,,,,,
2019,Parasite §,기생충,Bong Joon-ho,South Korea,[110],,,,,,
2020,"Festival cancelled due to the COVID-19 pandemic. 56 films were announced as official selections by the festival, but no awards were presented.","Festival cancelled due to the COVID-19 pandemic. 56 films were announced as official selections by the festival, but no awards were presented.","Festival cancelled due to the COVID-19 pandemic. 56 films were announced as official selections by the festival, but no awards were presented.","Festival cancelled due to the COVID-19 pandemic. 56 films were announced as official selections by the festival, but no awards were presented.",[13],,,,,,
2021,Titane,Titane,Julia Ducournau,"France, Belgium",[111],,,,,,
2022,Triangle of Sadness,Triangle of Sadness,Ruben Östlund,Sweden,[112],,,,,,
2023,Anatomy of a Fall,Anatomie d'une chute,Justine Triet,France,[113],,,,,,
2018,The Image Book,,,Switzerland[115],,Le Livre d'image,Jean-Luc Godard,[114],,,
1997,,,,,,,,,Ingmar Bergman,Filmmaker,Sweden
2002,,,,,,,,,Woody Allen[120],Filmmaker and Actor,United States
2003,,,,,,,,,Jeanne Moreau[121],Actress,France
2005,,,,,,,,,Catherine Deneuve[122],Actress,France
2007,,,,,,,,,Jane Fonda[123],Actress,United States
2008,,,,,,,,,Manoel de Oliveira[124],Filmmaker,Portugal
2009,,,,,,,,,Clint Eastwood[125],Actor and Director,United States
2011,,,,,,,,,Jean-Paul Belmondo[126],Actor,France
2011,,,,,,,,,Bernardo Bertolucci[127],Filmmaker,Italy
2015,,,,,,,,,Agnès Varda[128][129],Filmmaker,France
2016,,,,,,,,,Jean-Pierre Léaud[130],Actor,France
2017,,,,,,,,,Jeffrey Katzenberg[131],Producer,United States
2019,,,,,,,,,Alain Delon[132],Actor,France
2021,,,,,,,,,Marco Bellocchio[133],Filmmaker,Italy
2021,,,,,,,,,Jodie Foster[134],Actress and Director,United States
2022,,,,,,,,,Forest Whitaker[135],"Actor, Producer, and Director",United States
2022,,,,,,,,,Tom Cruise[136],Actor and Producer,United States
2023,,,,,,,,,Michael Douglas[137],Actor and Producer,United States
2023,,,,,,,,,Harrison Ford[138],Actor,United States
